Execute Anonymous

================================


List<String> stageNames = new List<String>{'Closed Won','Closed Lost','Value Proposition','Negotiation/Review','Proposal/Price Quote','Needs Analysis'};
for (Integer i = 0 ; i < 100; i++){
    Integer numUnits = Integer.valueof(Math.floor(Math.random() * 100));
    Integer stageIdx = Math.mod(numUnits,stageNames.size());
    System.debug(stageIdx);
 System.debug(stageNames.get(stageIdx));
}

================================

33.0 APEX_CODE,DEBUG;APEX_PROFILING,DEBUG;CALLOUT,INFO;DB,INFO;VALIDATION,INFO;WORKFLOW,INFO
Execute Anonymous: 
Execute Anonymous: List<String> stageNames = new List<String>{'Closed Won','Closed Lost','Value Proposition','Negotiation/Review','Proposal/Price Quote','Needs Analysis'};
Execute Anonymous: for (Integer i = 0 ; i < 100; i++){
Execute Anonymous:     Integer numUnits = Integer.valueof(Math.floor(Math.random() * 100));
Execute Anonymous:     Integer stageIdx = Math.mod(numUnits,stageNames.size());
Execute Anonymous:     System.debug(stageIdx);
Execute Anonymous:  System.debug(stageNames.get(stageIdx));
Execute Anonymous: }
18:01:10.023 (23741591)|EXECUTION_STARTED
18:01:10.023 (23751199)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
18:01:10.028 (28066644)|USER_DEBUG|[6]|DEBUG|5
18:01:10.028 (28090915)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.028 (28214222)|USER_DEBUG|[6]|DEBUG|0
18:01:10.028 (28237492)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.028 (28360593)|USER_DEBUG|[6]|DEBUG|1
18:01:10.028 (28383869)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.028 (28506497)|USER_DEBUG|[6]|DEBUG|5
18:01:10.028 (28529776)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.028 (28652909)|USER_DEBUG|[6]|DEBUG|0
18:01:10.028 (28676534)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.028 (28804665)|USER_DEBUG|[6]|DEBUG|3
18:01:10.028 (28828098)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.028 (28951329)|USER_DEBUG|[6]|DEBUG|0
18:01:10.028 (28974873)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.029 (29098290)|USER_DEBUG|[6]|DEBUG|1
18:01:10.029 (29122531)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.029 (29246117)|USER_DEBUG|[6]|DEBUG|2
18:01:10.029 (29269330)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.029 (29392671)|USER_DEBUG|[6]|DEBUG|1
18:01:10.029 (29416102)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.029 (29540138)|USER_DEBUG|[6]|DEBUG|4
18:01:10.029 (29563496)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.029 (29686059)|USER_DEBUG|[6]|DEBUG|1
18:01:10.029 (29709182)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.029 (29837355)|USER_DEBUG|[6]|DEBUG|1
18:01:10.029 (29860573)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.029 (29982579)|USER_DEBUG|[6]|DEBUG|2
18:01:10.030 (30005698)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.030 (30129269)|USER_DEBUG|[6]|DEBUG|0
18:01:10.030 (30152439)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.030 (30275117)|USER_DEBUG|[6]|DEBUG|4
18:01:10.030 (30298348)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.030 (30420720)|USER_DEBUG|[6]|DEBUG|1
18:01:10.030 (30443793)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.030 (30566130)|USER_DEBUG|[6]|DEBUG|3
18:01:10.030 (30589671)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.030 (30712661)|USER_DEBUG|[6]|DEBUG|1
18:01:10.030 (30739259)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.030 (30865118)|USER_DEBUG|[6]|DEBUG|4
18:01:10.030 (30889059)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.031 (31011536)|USER_DEBUG|[6]|DEBUG|5
18:01:10.031 (31035565)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.031 (31158383)|USER_DEBUG|[6]|DEBUG|4
18:01:10.031 (31181377)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.031 (31303877)|USER_DEBUG|[6]|DEBUG|0
18:01:10.031 (31327028)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.031 (31449664)|USER_DEBUG|[6]|DEBUG|1
18:01:10.031 (31473086)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.031 (31596077)|USER_DEBUG|[6]|DEBUG|2
18:01:10.031 (31619320)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.031 (31745069)|USER_DEBUG|[6]|DEBUG|2
18:01:10.031 (31768810)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.031 (31893236)|USER_DEBUG|[6]|DEBUG|0
18:01:10.031 (31916661)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.032 (32039845)|USER_DEBUG|[6]|DEBUG|3
18:01:10.032 (32063772)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.032 (32187199)|USER_DEBUG|[6]|DEBUG|2
18:01:10.032 (32210605)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.032 (32333433)|USER_DEBUG|[6]|DEBUG|0
18:01:10.032 (32356523)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.032 (32494275)|USER_DEBUG|[6]|DEBUG|2
18:01:10.032 (32518658)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.032 (32643641)|USER_DEBUG|[6]|DEBUG|4
18:01:10.032 (32677625)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.032 (32810160)|USER_DEBUG|[6]|DEBUG|1
18:01:10.032 (32833643)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.032 (32957719)|USER_DEBUG|[6]|DEBUG|0
18:01:10.032 (32981087)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.033 (33103403)|USER_DEBUG|[6]|DEBUG|3
18:01:10.033 (33127489)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.033 (33250858)|USER_DEBUG|[6]|DEBUG|1
18:01:10.033 (33274111)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.033 (33410460)|USER_DEBUG|[6]|DEBUG|2
18:01:10.033 (33434124)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.033 (33558014)|USER_DEBUG|[6]|DEBUG|0
18:01:10.033 (33591905)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.033 (33734748)|USER_DEBUG|[6]|DEBUG|5
18:01:10.033 (33764731)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.033 (33903490)|USER_DEBUG|[6]|DEBUG|4
18:01:10.033 (33927157)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.034 (34050693)|USER_DEBUG|[6]|DEBUG|5
18:01:10.034 (34074841)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.034 (34197886)|USER_DEBUG|[6]|DEBUG|1
18:01:10.034 (34220960)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.034 (34354743)|USER_DEBUG|[6]|DEBUG|1
18:01:10.034 (34378558)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.034 (34503665)|USER_DEBUG|[6]|DEBUG|5
18:01:10.034 (34526963)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.034 (34649982)|USER_DEBUG|[6]|DEBUG|4
18:01:10.034 (34673300)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.034 (34801823)|USER_DEBUG|[6]|DEBUG|3
18:01:10.034 (34825413)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.034 (34948775)|USER_DEBUG|[6]|DEBUG|0
18:01:10.034 (34971821)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.035 (35094870)|USER_DEBUG|[6]|DEBUG|1
18:01:10.035 (35119413)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.035 (35242823)|USER_DEBUG|[6]|DEBUG|5
18:01:10.035 (35266078)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.035 (35388886)|USER_DEBUG|[6]|DEBUG|1
18:01:10.035 (35412142)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.035 (35540467)|USER_DEBUG|[6]|DEBUG|4
18:01:10.035 (35563913)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.035 (35687291)|USER_DEBUG|[6]|DEBUG|5
18:01:10.035 (35710681)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.035 (35838157)|USER_DEBUG|[6]|DEBUG|2
18:01:10.035 (35861649)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.035 (35984105)|USER_DEBUG|[6]|DEBUG|5
18:01:10.036 (36007320)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.036 (36130055)|USER_DEBUG|[6]|DEBUG|4
18:01:10.036 (36153041)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.036 (36275760)|USER_DEBUG|[6]|DEBUG|1
18:01:10.036 (36299171)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.036 (36421570)|USER_DEBUG|[6]|DEBUG|5
18:01:10.036 (36444630)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.036 (36572490)|USER_DEBUG|[6]|DEBUG|0
18:01:10.036 (36595550)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.036 (36717832)|USER_DEBUG|[6]|DEBUG|4
18:01:10.036 (36744943)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.036 (36870327)|USER_DEBUG|[6]|DEBUG|5
18:01:10.036 (36893480)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.037 (37016636)|USER_DEBUG|[6]|DEBUG|5
18:01:10.037 (37040948)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.037 (37163653)|USER_DEBUG|[6]|DEBUG|3
18:01:10.037 (37186799)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.037 (37309771)|USER_DEBUG|[6]|DEBUG|1
18:01:10.037 (37332815)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.037 (37455907)|USER_DEBUG|[6]|DEBUG|5
18:01:10.037 (37479463)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.037 (37603288)|USER_DEBUG|[6]|DEBUG|0
18:01:10.037 (37626446)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.037 (37753728)|USER_DEBUG|[6]|DEBUG|1
18:01:10.037 (37777476)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.037 (37902386)|USER_DEBUG|[6]|DEBUG|2
18:01:10.037 (37926023)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.038 (38049140)|USER_DEBUG|[6]|DEBUG|4
18:01:10.038 (38073281)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.038 (38196282)|USER_DEBUG|[6]|DEBUG|2
18:01:10.038 (38219430)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.038 (38342134)|USER_DEBUG|[6]|DEBUG|5
18:01:10.038 (38365162)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.038 (38488008)|USER_DEBUG|[6]|DEBUG|5
18:01:10.038 (38511087)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.038 (38633933)|USER_DEBUG|[6]|DEBUG|5
18:01:10.038 (38657265)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.038 (38785644)|USER_DEBUG|[6]|DEBUG|1
18:01:10.038 (38809204)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.038 (38932555)|USER_DEBUG|[6]|DEBUG|3
18:01:10.038 (38955675)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.039 (39078869)|USER_DEBUG|[6]|DEBUG|0
18:01:10.039 (39102860)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.039 (39226214)|USER_DEBUG|[6]|DEBUG|1
18:01:10.039 (39249559)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.039 (39373109)|USER_DEBUG|[6]|DEBUG|3
18:01:10.039 (39396564)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.039 (39519876)|USER_DEBUG|[6]|DEBUG|4
18:01:10.039 (39543112)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.370 (39579033)|CUMULATIVE_LIMIT_USAGE
18:01:10.370|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

18:01:10.370|CUMULATIVE_LIMIT_USAGE_END

18:01:10.039 (39606913)|CODE_UNIT_FINISHED|execute_anonymous_apex
18:01:10.040 (40980329)|EXECUTION_FINISHED
